idx	text_left	text_right	label
0	Introducing the elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0	Introducing the cinegray ezframe series fixed frame screen - 150 diagonal 879.0, in the projection screens category.	0
1	Introducing the san diego padres iphone 4 case silicone cover, in the electronics - general category. This model, fva3959, is available for 24.99.	Introducing the georgia bulldogs iphone 4 case silicone cover tribeca 17.99, in the computers accessories category.	0
2	Introducing the innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010 by innovera. This product is available for 68.35.	Introducing the premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatible, in the inkjet printer ink category. This model, hp-q6511x, is available for 28.92.	0
3	Introducing the da-lite da-plex base rear projection screen - 57 3 4 x 77 video format da-lite 2608.99, in the electronics - general category. Its model is 27528.	Introducing the da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format projection screens by da-lite.	0
4	Introducing the pc treasures wireless optical mouse 2.4 ghz purple 07227, in the mice category. This product is available for 17.82.	Introducing the inland pro 2.4 ghz wireless optical mouse 07441 12.98, in the mice category.	0
5	Introducing the hon metal bookcase 34-1 2w x 12-5 8d x 81-1 8h furniture hon s82abcp 369.0	Introducing the new-hon s60abcq - metal bookcase 4 shelves 34-1 2w x 12-5 8d x 59h light gray - hons60abcq 334.0, in the laminating supplies category.	0
6	Introducing the msi ati radeon hd6670 1gb ddr5 pci-express video card msi r6670-md1gd5 107.0, in the electronics - general category.	Introducing the xfx ati radeon hd6570 1 gb ddr3 vga dvi hdmi pci-express video card hd657xzhf2 77.64, in the graphics cards category. Its model is hd657xzhf2.	0
7	Introducing the sumdex slr camera sling pack 39.99, in the mp3 accessories category. Its model is 144952.	Introducing the slr camera sling pack sumdex poc-484bk, in the cases bags category. This product is available for 44.59.	1
8	Introducing the xerox 108r00645 imaging unit for phaser 6300 and 6350 printer xerox 108r00645, in the printers category. This product is available for 244.84.	Introducing the xerox printers imaging unit phaser 6300 6350 108 r00645 108r00645, in the printer ink toner category. This product is available for 253.79.	1
9	Introducing the hp ce278a black laserjet print cartridge hp 69.84, in the printers category. Its model is hp ce278a.	Introducing the hp 85a laserjet black toner print cartridge - retail packaging ce285a hp ce285a, in the laser printer toner category.	0
10	Introducing the micronet mde1000 1tb fantom g-force megadisk usb 2.0 esata raid sub system 159.0, in the hard drives category. Its model is mde1000.	Introducing the fantom g force megadisk 4 tb usb 2.0 esata mde4000, in the external hard drives category. This model, mde4000, is available for 233.08.	0
11	Introducing the toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive hard drives toshiba ph3100u-1e3s This product is available for 89.0.	Introducing the toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver ph3100u-1e3s, in the external hard drives category. This product is available for 80.23.	1
12	Introducing the incipio smart feather for apple ipad 2 light blue electronics - general by incipio. This model, ipad-227, is available for 33.25.	Introducing the incipio ipad-209 feather for apple ipad 2 - iridescent purple touch screen tablet accessories incipio ipad-209 This product is available for 21.16.	0
13	Introducing the avery shipping labels for color laser copier 3-3 4 x 4-3 4 matte white 100 pack 16.67, in the stationery & office machinery category.	Introducing the avery 5692 - laser cd dvd labels matte white 40 pack computers accessories avery	0
14	Introducing the da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99	Introducing the da-plex standard rear projection screen - 96 x 96 av format da-lite 5912.99, in the projection screens category.	0
15	Introducing the sharpie retractable permanent markers fine point set of 12 black stationery & office machinery sharpie 32701 This product is available for 13.64.	Introducing the new-sharpie 32730pp - retractable permanent markers fine point assorted 8 set - san32730pp shredders 33.68 by sharpie.	0
16	Introducing the nzxt phantom crafted series atx full tower steel chassis black nzxt 139.82, in the electronics - general category. Its model is nzxt phantom.	Introducing the nzxt crafted series atx full tower steel chassis - phantom white with red trim computer case cs-nt-phan-wnr white red nzxt cs-nt-phan-wnr, in the computer cases category. This product is available for 139.99.	0
17	Introducing the da-lite high power model b manual screen with csr - 60 x 80 video format electronics - general 369.99 by da-lite. Its model is 85319.	Introducing the honey maple veneer model b manual screen with high power fabric - av format size 60 x 60 projection screens by da-lite.	0
18	Introducing the sharpie permanent markers fine point - black - 12 count, in the stationery & office machinery category. This model, 30001wm, is available for 8.24.	Introducing the new-sharpie 37001 - permanent markers ultra fine point black dozen - san37001, in the shredders category. This product is available for 27.07.	0
19	Introducing the da-lite da-glas deluxe rear projection screen - 50 x 50 av format electronics - general 1919.99 by da-lite. Its model is 27647.	Introducing the da-lite 27639 da-glas standard rear projection screen 72 x 96 video format, in the projection screens category.	0
20	Introducing the canon powershot a3300 is black 16.0 mp digital camera with 5x optical zoom 3.0 lcd 720p video w 50 bonus prints 156.54, in the digital cameras category. Its model is 5035b001aa.	Introducing the canon powershot a470 7.1 mp digital camera with 3.4 x optical zoom gray b0012ya6p2, in the point shoot digital cameras category.	0
21	Introducing the elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0, in the electronics - general category. Its model is pvr135h1.	Introducing the powergain prime vision series fixed frame screen - 120 diagonal projection screens elite 929.0	0
22	Introducing the amzer anti-glare screen protector for ipad 2 mp3 accessories 13.88 by amzer. Its model is 90786.	Introducing the mygear products 2 clear 2 anti-glare 2 anti-fingerprint combo pack screen protectors for ipad 2 combo pack cases sleeves by mygear products. This product is available for 18.95.	0
23	Introducing the elite m85xws1 screens manual pull down projection screen, in the electronics - general category. This model, m85xws1, is available for 60.84.	Introducing the dalite manual wall and ceiling screen accessory pull rod projection screen projector accessories by da-lite screen. This product is available for 9.95.	0
24	Introducing the da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format da-lite, in the electronics - general category. This model, 27562, is available for 2544.99.	Introducing the da-lite 27512 da-plex unframed rear projection screen - 72 x 96 video format projection screens by da-lite.	0
25	Introducing the netgear powerline av 500 adapter networking netgear This model, xav5001100nas, is available for 79.82.	Introducing the netgear xav5001 powerline av 500 adapter powerline network adapters netgear This model, xav5001-100nas, is available for 69.99.	1
26	Introducing the c-line top-load poly sheet protectors heavy gauge letter 200ct stationery & office machinery 62097 28.94	Introducing the new-c-line 61008 - top-load poly sheet protectors super-heavy letter non-glare 50 box - cli61008 storage presentation materials c-line 26.0	0
27	Introducing the asus radeon hd5570 1gb ddr5 pci express graphics card asus 180.41, in the electronics - general category. Its model is eah5770 cucore/g/2di.	Introducing the visiontek ati radeon hd 5550 1 gb ddr pci express graphics card 900331 visiontek 900331, in the computers accessories category. This product is available for 54.99.	0
28	Introducing the da-lite da-plex deluxe rear projection screen - 36 x 48 video format 27559, in the electronics - general category. This product is available for 1630.99.	Introducing the da-glas base rear projection screen - 43 1 4 x 57 3 4 video format 1519.99, in the projection screens category.	0
29	Introducing the da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal electronics - general da-lite This model, 88285, is available for 4242.99.	Introducing the da-lite tensioned advantage deluxe electrol - projection screen motorized - 92 in - 16 9 - pearlescent, in the projection screens category. This product is available for 3740.0.	0
