idx	text_left	text_right	label
0	elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0	cinegray ezframe series fixed frame screen - 150 diagonal 879.0projection screenselite	0
1	san diego padres iphone 4 case silicone coverelectronics - generaltribecafva395924.99	georgia bulldogs iphone 4 case silicone cover tribeca 17.99computers accessories	0
2	innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010innovera68.35	premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatibleinkjet printer inkhp-q6511x28.92	0
3	da-lite da-plex base rear projection screen - 57 3 4 x 77 video format da-lite 2608.99electronics - general27528	da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format projection screensda-lite	0
4	pc treasures wireless optical mouse 2.4 ghz purple 07227micepc treasures17.82	inland pro 2.4 ghz wireless optical mouse 07441 12.98miceinland	0
5	hon metal bookcase 34-1 2w x 12-5 8d x 81-1 8h furniture hon s82abcp 369.0	new-hon s60abcq - metal bookcase 4 shelves 34-1 2w x 12-5 8d x 59h light gray - hons60abcq 334.0laminating supplieshon	0
6	msi ati radeon hd6670 1gb ddr5 pci-express video card msi r6670-md1gd5 107.0electronics - general	xfx ati radeon hd6570 1 gb ddr3 vga dvi hdmi pci-express video card hd657xzhf2 77.64graphics cardsxfxhd657xzhf2	0
7	sumdex slr camera sling pack 39.99mp3 accessoriessumdex144952	slr camera sling pack sumdex poc-484bkcases bags44.59	1
8	xerox 108r00645 imaging unit for phaser 6300 and 6350 printer xerox 108r00645printers244.84	xerox printers imaging unit phaser 6300 6350 108 r00645 108r00645printer ink tonerxerox253.79	1
9	hp ce278a black laserjet print cartridge hp 69.84printershp ce278a	hp 85a laserjet black toner print cartridge - retail packaging ce285a hp ce285alaser printer toner	0
10	micronet mde1000 1tb fantom g-force megadisk usb 2.0 esata raid sub system 159.0hard drivesmicronetmde1000	fantom g force megadisk 4 tb usb 2.0 esata mde4000external hard drivesmicronetmde4000233.08	0
11	toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive hard drives toshiba ph3100u-1e3s89.0	toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver ph3100u-1e3sexternal hard drivestoshiba80.23	1
12	incipio smart feather for apple ipad 2 light blue electronics - generalincipioipad-22733.25	incipio ipad-209 feather for apple ipad 2 - iridescent purple touch screen tablet accessories incipio ipad-20921.16	0
13	avery shipping labels for color laser copier 3-3 4 x 4-3 4 matte white 100 pack 16.67stationery & office machineryavery	avery 5692 - laser cd dvd labels matte white 40 pack computers accessories avery	0
14	da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99	da-plex standard rear projection screen - 96 x 96 av format da-lite 5912.99projection screens	0
15	sharpie retractable permanent markers fine point set of 12 black stationery & office machinery sharpie 3270113.64	new-sharpie 32730pp - retractable permanent markers fine point assorted 8 set - san32730pp shredders 33.68sharpie	0
16	nzxt phantom crafted series atx full tower steel chassis black nzxt 139.82electronics - generalnzxt phantom	nzxt crafted series atx full tower steel chassis - phantom white with red trim computer case cs-nt-phan-wnr white red nzxt cs-nt-phan-wnrcomputer cases139.99	0
17	da-lite high power model b manual screen with csr - 60 x 80 video format electronics - general 369.99da-lite85319	honey maple veneer model b manual screen with high power fabric - av format size 60 x 60 projection screensda-lite	0
18	sharpie permanent markers fine point - black - 12 countstationery & office machinerysharpie30001wm8.24	new-sharpie 37001 - permanent markers ultra fine point black dozen - san37001shredderssharpie27.07	0
19	da-lite da-glas deluxe rear projection screen - 50 x 50 av format electronics - general 1919.99da-lite27647	da-lite 27639 da-glas standard rear projection screen 72 x 96 video formatprojection screensda-lite	0
20	canon powershot a3300 is black 16.0 mp digital camera with 5x optical zoom 3.0 lcd 720p video w 50 bonus prints 156.54digital camerascanon5035b001aa	canon powershot a470 7.1 mp digital camera with 3.4 x optical zoom gray b0012ya6p2point shoot digital camerascanon	0
21	elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0electronics - generalpvr135h1	powergain prime vision series fixed frame screen - 120 diagonal projection screens elite 929.0	0
22	amzer anti-glare screen protector for ipad 2 mp3 accessories 13.88amzer90786	mygear products 2 clear 2 anti-glare 2 anti-fingerprint combo pack screen protectors for ipad 2 combo pack cases sleevesmygear products18.95	0
23	elite m85xws1 screens manual pull down projection screenelectronics - generalelite screensm85xws160.84	dalite manual wall and ceiling screen accessory pull rod projection screen projector accessoriesda-lite screen9.95	0
24	da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format da-liteelectronics - general275622544.99	da-lite 27512 da-plex unframed rear projection screen - 72 x 96 video format projection screensda-lite	0
25	netgear powerline av 500 adapter networking netgearxav5001100nas79.82	netgear xav5001 powerline av 500 adapter powerline network adapters netgearxav5001-100nas69.99	1
26	c-line top-load poly sheet protectors heavy gauge letter 200ct stationery & office machinery 62097 28.94	new-c-line 61008 - top-load poly sheet protectors super-heavy letter non-glare 50 box - cli61008 storage presentation materials c-line 26.0	0
27	asus radeon hd5570 1gb ddr5 pci express graphics card asus 180.41electronics - generaleah5770 cucore/g/2di	visiontek ati radeon hd 5550 1 gb ddr pci express graphics card 900331 visiontek 900331computers accessories54.99	0
28	da-lite da-plex deluxe rear projection screen - 36 x 48 video format 27559electronics - generalda-lite1630.99	da-glas base rear projection screen - 43 1 4 x 57 3 4 video format 1519.99projection screensda-lite	0
29	da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal electronics - general da-lite882854242.99	da-lite tensioned advantage deluxe electrol - projection screen motorized - 92 in - 16 9 - pearlescentprojection screensda-lite3740.0	0
30	da-lite da-glas unframed rear projection screen - 43 1 4 x 57 3 4 video format electronics - general 27602da-lite920.99	da-lite 27903 da-plex self trimming rear projection screen - 96 x 120 av format da-liteprojection screens	0
31	chicago cubs pink iphone 4 hard case electronics - general tribecafva442429.99	chicago bulls iphone 3g duo case tribecacomputers accessories9.99	0
32	da-lite da-glas deluxe rear projection screen - 96 x 96 av format 6128.99electronics - generalda-lite27651	da-plex standard rear projection screen - 96 x 96 av format da-lite 5912.99projection screens	0
33	da-lite high power designer contour manual screen with csr - 50 x 67 video format 92290 512.99electronics - generalda-lite	high power designer contour manual screen with csr and top black drop - 45 x 80 hdtv format size 52 x 92 projection screens da-lite	0
34	hon 10700 series right pedestal credenza 72w x 24d x 29-1 2h mahogany honfurniture10707rnn799.0	new-hon 10546lnn - 10500 series 3 4-height left pedestal credenza 72w x 24d x 29-1 2h mahogany - hon10546lnn honlaminating supplies1425.0	0
35	da-lite video spectra 1.5 model c with csr manual screen - 69 x 92 video format electronics - general da-lite 82978657.99	da-lite deluxe model b video spectra 1.5 - projection screen model b video spectra 1.5 125.95projection screensda-lite	0
36	iomega 1tb ego desktop usb 2.0 portable hard drive - midnight blue hard drives 34837iomega89.98	iomega ego helium 320 gb usb 2.0 portable external hard drive 34943 computers accessories iomega34943	0
37	evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr32.88	pny geforce 9600gt 512 mb ddr3 pci-express graphics card vcg96512gxpbpnyvcg96512gxpb	0
38	genius agama m-300 retractable mini mouse - optical - usb - black mice genius 31010615100 10.0	iconcepts usb mini retractable mouse - mouse - 3 button s - wired - usb - black computers accessories saitek usb mini retractable mouse	0
39	pc treasures clickit classic mouse black 07667 16.8micepc treasures	pc treasures clickit classic mouse - navy 07669 pc treasures 07669mice16.95	0
40	da-lite da-plex self trimming rear projection screen - 96 x 120 av format da-lite 7799.99electronics - general27903	da-lite da-glas thru-the-wall rear projection screen - 72 x 96 video format 8968.99projection screensda-lite23050	0
41	visontek wireless candyboard mini keyboard with touchpad visiontek 59.82electronics - general900319	visiontek candyboard bluetooth wireless mini keyboard with touchpad 900335 black visiontek 900335 49.99keyboards	0
42	hp c6020b coated paper 1 roll 36-inches x 150 ft stationery & office machinery hp 49.88c6020b	hp universal coated paper 42 inches x 150 feet roll roll paper 32.23hpq1406a	0
43	belkin basic wireless n150 usb adapter networking f7d1101belkin29.99	belkin n150 wireless usb adapter latest generation belkin 29.99usb network adaptersf9l1001	0
44	da-lite video spectra 1.5 deluxe model b manual screen - 50 x 67 video format 73639 181.99electronics - generalda-lite	da-lite model b with csr video spectra 1.5 - projection screen - 106 in da-lite 279.5projection screensvideo spectra 1.5	0
45	visiontek 900252 radeon hd 4650 1 gb 128-bit gddr2 pci express 2.0 graphics card . electronics - general visiontek 900252 86.92	visiontek ati radeon hd 4670x2 2 gb ddr3 pci express graphics card 900307 900307computers accessoriesvisiontek281.99	0
46	hp c7971a lto ultrium 1 tape cartridge mp3 accessories hpc7971a39.88	tandberg lto ultrium 100 200gb tape cartridge data cartridgestandberg43263034.91	0
47	sharpie permanent markers fine point - black - 12 countstationery & office machinerysharpie30001wm8.24	new-sharpie 1738519 - grip permanent marker fine point black dozen - san1738519 shredders sharpie 33.09	0
48	da-lite high power model b manual screen with csr - 84 x 84 av format electronics - general da-lite 85303 372.99	medium oak veneer model b manual screen with high power fabric - av format size 60 x 60projection screensda-lite	0
49	snapshield p2 polycarbonate case ipad 2 smoke mp3 accessories scosche ipd2pcbk20.88	scosche snapshield p2 polycarbonate case ipad 2 - purple ipd2pcpu ipd2pcpu 14.09laptop netbook computer accessoriesscosche	0
50	panasonic slimz over-ear headphone black pink rp-hx40-pk panasonicelectronics - generalrp-hx40-pk34.88	panasonic rp-hje350-k slimz in-ear earbud headphones blackheadphonespanasonicrp-hje350-k18.54	0
51	draper high contrast grey luma 2 manual screen - 60 x 60 av formatelectronics - generaldraper206059349.88	high contrast matte white designer contour manual screen with csr - av format size 60 x 60 projection screensda-lite	0
52	da-lite da-tex rear tensioned advantage electrol - av format 8 x 8 diagonal electronics - generalda-lite853752549.38	hc cinema perf tensioned advantage deluxe electrol - hdtv format size 92 diagonal projection screensda-lite4200.0	0
53	da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format electronics - general 10048.99da-lite23096	da-lite da-plex unframed rear projection screen - 108 x 144 video format projection screens da-lite 8094.027514	0
54	clickfree c2 500gb usb 3.0 portable external hard drive clickfreehard driveshd527b384.98	verbatim acclaim 320 gb usb 2.0 portable external hard drive 97185 blue verbatim 9718559.84	0
55	lexmark e450h11a toner 11000 page-yield black printers e450h11alexmark248.27	hewlettpkr q7516a hp 16a toner 12 000 page-yield black laser printer tonerhp144.44	0
56	smead acid-free poly folder 2 fasteners 1 3 cut top tab letter manila 24 box stationery & office machinery 10545 42.94	smead 17940 - folders two fasteners 1 3 cut assorted top tab legal yellow 50 box 92.53cables interconnectssmead	0
57	xfx amd radeon hd 6950 1gb ddr5 graphics cardelectronics - generalxfxhd695xzndc269.82	xfx hd 6850 775m 1 gb ddr5 graphics card hd685xznfc graphics cardsxfxhd685xznfc163.99	0
58	trendnet 24-port 10 100 1000 mbps switch networking trendnettegs24g239.99	netgear switch 24-pt 10 100mbps poe switches netgear fs728tp-100nas	0
59	guardian air step antifatigue polypropylene mat 36 x 60 black home care 24030502guardian50.97	guardian 24020302 - air step antifatigue mat polypropylene 24 x 36 black antitheftguardian	0
60	static cling screen protector kit for apple ipad 2 0.0electronics - generalwriteright9227801	green onions supply glossy screen protector for apple ipad green 18.36screen protectorsrt-spipad01	0
